transition,handler,from_state,to_state,input,choice,condition,proven_behavior,state_offset,choice_offset,page_base_offset,action_table,confidence
alignment_to_selector,0x0800924C,0,1,alignment complete,,state == 0,renders four action records from Player+0x1E8 page base and enters the four-way selector,+0x1EC,+0x1E4,+0x1E8,0x08018738,high
selector_up,0x08009C74,1,1,fresh Up,0,state == 1,stores choice 0 to Player+0x1E4 and refreshes selector visuals,+0x1EC,+0x1E4,+0x1E8,0x08018738,high
selector_right,0x08009D60,1,1,fresh Right,1,state == 1,stores choice 1 to Player+0x1E4 and refreshes selector visuals,+0x1EC,+0x1E4,+0x1E8,0x08018738,high
selector_down,0x08009DA4,1,1,fresh Down,2,state == 1,stores choice 2 to Player+0x1E4 and refreshes selector visuals,+0x1EC,+0x1E4,+0x1E8,0x08018738,high
selector_left,0x080097D8,1,1,fresh Left,3,state == 1,stores choice 3 to Player+0x1E4 and refreshes selector visuals,+0x1EC,+0x1E4,+0x1E8,0x08018738,high
selector_branch_confirm,0x08009C3E,1,0,fresh A,selected,selected record +0x20 == 0,"copies selected record +0x24 child base to Player+0x1E8, then returns to state 0 to render that four-action page",+0x1EC,+0x1E4,+0x1E8,0x08018738,high
selector_leaf_confirm,0x08009DDA,1,2,fresh A,selected,selected record +0x20 == 1,"initializes the secondary leaf-action interaction state and stores state 2 regardless of +0x28 topic count; later fresh-A handling is page-gated (TALK page base 4 can commit, FLIRT/ASSAULT/SHARE page bases 8/12/16 remain state 2)",+0x1EC,+0x1E4,+0x1E8,0x08018738,high
secondary_b_return,0x08009CB6,2,0,fresh B,,state == 2,"runs UI cleanup, plays SFX7 volume 0x50, clears Player+0x1E8 page base and Player+0x1EC state to 0",+0x1EC,+0x1E4,+0x1E8,0x08018738,high
secondary_talk_a_commit,0x0800960E,2,3,fresh A,selected TALK leaf,depth > 0 and page_base == 4,only TALK page base 4 stores state 3; page bases 8/12/16 take the Player_update exit path without changing interaction state,+0x1EC,+0x1E4,+0x1E8,0x08018738,high
teardown,0x0800963E,3,0,state dispatch,,state == 3,"cleans UI, seeds Player+0x384=150, clears page/scratch/state, writes 0x03000610=0, restores scene graphics, and marks Player+0x381=1 before the delayed response dispatcher",+0x1EC,+0x1E4,+0x1E8,0x08018738,high
