action_index,action_label,page_base,quadrant,topic_count,fresh_a_gate,fresh_a_outcome,post_countdown_path,runtime_class,b_return,evidence,confidence
4,SUBJECT,4,0,9,0x0800960E,commit to interaction state 3,SUBJECT response bank,TALK leaf with code-proven commit,state 0/root page + SFX7,page_base==4 falls through to 0x0800962C state-3 store,high
5,Ask about,4,1,5,0x0800960E,commit to interaction state 3,quadrant 1 shared +0x382 follow-up,TALK leaf with code-proven commit,state 0/root page + SFX7,page_base==4 falls through to 0x0800962C state-3 store,high
6,JOKE,4,2,0,0x0800960E,commit to interaction state 3,quadrant 2 shared +0x382 follow-up,TALK leaf with code-proven commit,state 0/root page + SFX7,page_base==4 falls through to 0x0800962C state-3 store,high
7,CRITICIZE,4,3,9,0x0800960E,commit to interaction state 3,CRITICIZE response bank,TALK leaf with code-proven commit,state 0/root page + SFX7,page_base==4 falls through to 0x0800962C state-3 store,high
8,KISS CHEEK,8,0,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
9,KISS LIPS,8,1,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
10,DIRTY JOKE,8,2,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
11,BREAKUP,8,3,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
12,SWEAR,12,0,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
13,FIGHT,12,1,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
14,unused,12,2,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
15,SCAM,12,3,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
16,GIFT,16,0,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
17,ACTIVITY,16,1,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
18,A Number,16,2,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
19,ASK,16,3,0,0x0800960E,exit Player_update; remain in state 2,unreachable from canonical state-2 fresh-A gate,prototype/inert leaf in canonical demo,state 0/root page + SFX7,"page_base!=4 calls 0x08008B5E common finalizer, whose 0x08008B7E..0x08008B8E epilogue returns from Player_update before state-3 store",high
