fact,level,value,evidence,runtime_consequence,confidence
oam_allocator,all,shared monotonic OAM submission counter,0x0800A958..0x0800A994 writes OAM[counter] then increments the same counter,draw traversal order is the equal-priority OBJ tie-break order,high
story_overlay_prefix,all,story overlays before physical LevelRecord+0x38 actors,0x08005996 submits story overlay list before 0x080059AE physical actor list,loaded overlay NPCs can own lower OAM indices than Player,high
player_physical_index,0,8,serialized Player record at 0x0853B274,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,1,2,serialized Player record at 0x08533BF8,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,2,0,serialized Player record at 0x084E761C,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,3,0,serialized Player record at 0x084A9578,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,4,0,serialized Player record at 0x0847C354,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,5,0,serialized Player record at 0x0841D9F4,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,6,8,serialized Player record at 0x0853B274,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,7,0,serialized Player record at 0x0841C880,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,8,4,serialized Player record at 0x0841A220,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,9,2,serialized Player record at 0x08386D4C,"insert Player after this many physical-list objects, following the overlay prefix",high
player_physical_index,10,1,serialized Player record at 0x08366F50,"insert Player after this many physical-list objects, following the overlay prefix",high
