dial_index,step,record_addr,record_rom_offset,speaker,text,opcode,argument,opcode_interpretation
0,0,0x080131B8,0x000131B8,Vika,"My favorite console, so much good memories...",0,0,normal context: dialogue/content record; argument consumed by generic handler
0,1,0x08013248,0x00013248,Vika,I wish I had more games to play,0,1,normal context: dialogue/content record; argument consumed by generic handler
0,2,0x080132D8,0x000132D8,Vika,One day I'll pick up the ones I always wanted on my shelf,0,1,normal context: dialogue/content record; argument consumed by generic handler
0,3,0x08013368,0x00013368,,,-2,0,normal context: set primary message-stream selector 0x03001814 to argument
0,4,0x080133F8,0x000133F8,,,-1,4,normal context: set actor dialogue-step (+0x70) to argument
0,5,0x08013488,0x00013488,Vika,I have things to do right now,0,2,normal context: dialogue/content record; argument consumed by generic handler
0,6,0x08013518,0x00013518,Vika,But I will play as I'll get back home later that evening.,0,1,normal context: dialogue/content record; argument consumed by generic handler
0,7,0x080135A8,0x000135A8,,,-1,4,normal context: set actor dialogue-step (+0x70) to argument
1,0,0x08012CA8,0x00012CA8,Vika,It's hard to buy new stuff when parents stopped giving me money,0,2,normal context: dialogue/content record; argument consumed by generic handler
1,1,0x08012D38,0x00012D38,Vika,Maybe I should find a work...,0,2,normal context: dialogue/content record; argument consumed by generic handler
1,2,0x08012DC8,0x00012DC8,,,-1,-1,normal context: set actor dialogue-step (+0x70) to argument
1,3,0x08012E58,0x00012E58,Test Girl 1,Done! Press A and then check your messages,0,0,normal context: dialogue/content record; argument consumed by generic handler
1,4,0x08012EE8,0x00012EE8,,,-3,1,normal context: insert argument into first free auxiliary selector: 0x03001810/0x0300180C/0x03001808
1,5,0x08012F78,0x00012F78,,,-1,4,normal context: set actor dialogue-step (+0x70) to argument
1,6,0x08013008,0x00013008,Test Girl 1,Isn't it cool? You now have one more task in your book!,0,0,normal context: dialogue/content record; argument consumed by generic handler
1,7,0x08013098,0x00013098,Test Girl 1,What are you waiting for? Go face the adventures!,0,0,normal context: dialogue/content record; argument consumed by generic handler
1,8,0x08013128,0x00013128,,,-1,4,normal context: set actor dialogue-step (+0x70) to argument
2,0,0x08012168,0x00012168,IQ 54,"Hey, cool to see you here!",0,3,normal context: dialogue/content record; argument consumed by generic handler
2,1,0x080121F8,0x000121F8,IQ 54,"I wanted to draw some graffity here, but when wind started to blow",0,3,normal context: dialogue/content record; argument consumed by generic handler
2,2,0x08012288,0x00012288,IQ 54,And it blown away all of my sketches,0,3,normal context: dialogue/content record; argument consumed by generic handler
2,3,0x08012318,0x00012318,Vika,"Wow, that sucks...",0,2,normal context: dialogue/content record; argument consumed by generic handler
